,0
1943,56.4
1944,202.7
1945,333.1
1946,141.0
1947,319.8
1948,149.8
1949,234.2
1950,66.0
1951,304.9
1952,38.1
1953,303.0
1954,211.7
1955,209.9
1956,119.2
1957,29.7
1958,296.5
1959,29.9
1960,298.5
1961,213.3
1962,233.7
1963,33.3
1964,351.5
1965,305.9
1966,118.5
1967,171.5
1968,23.8
1969,300.6
1970,122.0
1971,209.7
1972,29.7
1973,300.6
1974,120.6
1975,241.9
1976,57.6
1977,33.4
1978,302.4
1979,210.5
1980,125.7
1981,31.9
1982,209.4
1983,300.2
1984,30.0
1985,207.7
1986,300.6
1987,119.8
1988,30.9
1989,210.2
1990,120.3
1991,210.2
1992,30.1
1993,299.3
1994,27.7
1995,210.0
1996,29.6
1997,212.0
1998,303.7
1999,118.0
2000,31.4
2001,209.6
2002,118.2
2003,299.5
2004,119.3
2005,298.4
2006,30.2
2007,211.4
2008,119.5
2009,208.5
2010,30.1
2011,298.2
2012,30.0
2013,211.9
2014,210.8
2015,122.6
2016,30.5
2017,302.6
2018,213.0
2019,307.9
2020,135.6
2021,32.0
2022,31.9
2023,209.8
2024,298.0
2025,115.4
2026,210.1
2027,30.6
2028,302.1
2029,118.4
2030,211.2
2031,29.1
2032,28.5
2033,306.5
2034,123.7
2035,32.6
2036,210.1
2037,337.5
2038,197.8
2039,155.2
2040,358.4
2041,199.9
2042,160.7
2043,313.7
2044,343.1
2045,173.2
2046,186.7
2047,22.9
2048,151.8
2049,353.6
2050,27.7
2051,217.6
2052,254.7
2053,74.4
2054,94.3
2055,125.8
2056,66.8
2057,22.7
2058,260.6
2059,338.5
2060,162.6
2061,81.5
2062,221.8
2063,74.6
2064,304.0
2065,124.1
2066,201.3
2067,304.1
2068,122.1
2069,281.1
2070,183.5
2071,110.6
2072,154.3
2073,337.8
2074,336.4
2075,116.4
2076,298.2
2077,182.7
2078,296.4
2079,8.8
2080,204.5
2081,298.8
2082,135.2
2083,336.4
2084,328.1
2085,23.5
2086,15.7
2087,189.1
2088,203.1
2089,127.0
2090,307.6
2091,193.7
2092,145.2
2093,320.3
2094,293.5
2095,340.5
2096,347.1
2097,45.2
2098,301.0
2099,12.6
2100,282.0
2101,67.1
2102,349.6
2103,260.3
2104,322.6
2105,128.7
2106,335.2
2107,160.5
2108,355.6
2109,156.4
2110,327.5
2111,238.8
2112,167.3
2113,176.2
2114,353.6
2115,85.7
2116,188.5
2117,272.8
2118,356.2
2119,185.2
2120,208.8
2121,348.8
2122,212.0
2123,301.2
2124,41.0
2125,36.4
2126,123.8
2127,299.7
2128,121.9
2129,209.4
2130,217.7
2131,64.5
2132,209.8
2133,34.0
2134,305.4
2135,203.3
2136,26.3
2137,306.3
2138,136.5
2139,40.6
2140,297.5
